-DOCSTART- -X- -X- O
for IN B-PP O
the DT B-NP O
organisms NNS I-NP O
under IN B-PP O
study NN B-NP O
. . O O

. . O O

Human JJ B-NP O
peroxisomal JJ I-NP O
targeting NN I-NP O
signal NN I-NP O
- HYPH B-NP O
1 CD I-NP O
receptor NN I-NP O
restores VBZ B-VP O
peroxisomal JJ B-NP O
protein NN I-NP O
import NN I-NP O
in IN B-PP O
cells NNS B-NP O
from IN B-PP O
patients NNS B-NP O
with IN B-PP O
fatal JJ B-NP O
peroxisomal JJ I-NP B-Disease
disorders NNS I-NP I-Disease
. . O O

Two CD B-NP O
peroxisomal JJ I-NP O
targeting NN I-NP O
signals NNS I-NP O
, , O O
PTS1 NN B-NP O
and CC I-NP O
PTS2 NN I-NP O
, , O O
are VBP B-VP O
involved VBN I-VP O
in IN B-PP O
the DT B-NP O
import NN I-NP O
of IN B-PP O
proteins NNS B-NP O
into IN B-PP O
the DT B-NP O
peroxisome NN I-NP O
matrix NN I-NP O
. . O O

Human JJ B-NP O
patients NNS I-NP O
with IN B-PP O
fatal JJ B-NP O
generalized VBN I-NP O
peroxisomal JJ I-NP B-Disease
deficiency NN I-NP I-Disease
disorders NNS I-NP I-Disease
fall VBP B-VP O
into IN B-PP O
at IN B-NP O
least JJS I-NP O
nine CD I-NP O
genetic JJ I-NP O
complementation NN I-NP O
groups NNS I-NP O
. . O O

Cells NNS B-NP O
from IN B-PP O
many JJ B-NP O
of IN B-PP O
these DT B-NP O
patients NNS I-NP O
are VBP B-VP O
deficient JJ B-ADJP O
in IN B-PP O
the DT B-NP O
import NN I-NP O
of IN B-PP O
PTS1 NN B-NP O
- HYPH O O
containing VBG B-VP O
proteins NNS B-NP O
, , O O
but CC O O
the DT B-NP O
causes NNS I-NP O
of IN B-PP O
the DT B-NP O
protein NN I-NP O
- HYPH B-NP O
import NN I-NP O
defect NN I-NP O
in IN B-PP O
these DT B-NP O
patients NNS I-NP O
are VBP B-VP O
unknown JJ B-ADJP O
. . O O

We PRP B-NP O
have VBP B-VP O
cloned VBN I-VP O
and CC I-VP O
sequenced VBN I-VP O
the DT B-NP O
human JJ I-NP O
cDNA NN I-NP O
homologue NN I-NP O
( ( O O
PTS1R NN B-NP O
) ) O O
of IN B-PP O
the DT B-NP O
Pichia NNP I-NP O
pastoris NN I-NP O
PAS8 NN I-NP O
gene NN I-NP O
, , O O
the DT B-NP O
PTS1 NN I-NP O
receptor NN I-NP O
( ( O O
McCollum NNP B-NP O
, , O O
D NNP B-NP O
. . O O

, , O O
E NNP B-NP O
. . I-NP O

Monosov NNP I-NP O
, , O O
and CC O O
S NNP B-NP O
. . I-NP O

Subramani NNP I-NP O
. . I-NP O

1993 CD I-NP O
. . I-NP O

J NNP I-NP O
. . I-NP O

Cell NNP I-NP O
Biol NNP I-NP O
. . O O

121 CD B-NP O
761 CD I-NP O
- HYPH B-NP O
774 CD I-NP O
) ) O O
. . O O

The DT B-NP O
PTS1R NN I-NP O
mRNA NN I-NP O
is VBZ B-VP O
expressed VBN I-VP O
in IN B-PP O
all DT B-NP O
human JJ I-NP O
tissues NNS I-NP O
examined VBN B-VP O
. . O O

Antibodies NNS B-NP O
to TO B-PP O
the DT B-NP O
human JJ I-NP O
PTS1R NN I-NP O
recognize VBP B-VP O
this DT B-NP O
protein NN I-NP O
in IN B-PP O
human JJ B-NP O
, , I-NP O
monkey NN I-NP O
, , O O
rat NN B-NP O
, , O O
and CC O O
hamster NN B-NP O
cells NNS I-NP O
. . O O

The DT B-NP O
protein NN I-NP O
is VBZ B-VP O
localized VBN I-VP O
mainly RB B-ADVP O
in IN B-PP O
the DT B-NP O
cytosol NN I-NP O
but CC O O
is VBZ B-VP O
also RB I-VP O
found VBN I-VP O
to TO I-VP O
be VB I-VP O
associated VBN I-VP O
with IN B-PP O
peroxisomes NNS B-NP O
. . O O

Part NN B-NP O
of IN B-PP O
the DT B-NP O
peroxisomal JJ I-NP O
PTS1R NN I-NP O
protein NN I-NP O
is VBZ B-VP O
tightly RB B-ADJP O
bound VBN I-ADJP O
to TO B-PP O
the DT B-NP O
peroxisomal JJ I-NP O
membrane NN I-NP O
. . O O

Antibodies NNS B-NP O
to TO B-PP O
PTS1R NN B-NP O
inhibit VBP B-VP O
peroxisomal JJ B-NP O
protein NN I-NP O
- HYPH B-NP O
import NN I-NP O
of IN B-PP O
PTS1 NN B-NP O
- HYPH O O
containing VBG B-VP O
proteins NNS B-NP O
in IN B-PP O
a DT B-NP O
permeabilized JJ I-NP O
CHO NN I-NP O
cell NN I-NP O
system NN I-NP O
. . O O

In FW B-NP O
vitro FW I-NP O
- HYPH B-NP O
translated VBN I-NP O
PTS1R NN I-NP O
protein NN I-NP O
specifically RB B-ADVP O
binds VBZ B-VP O
a DT B-NP O
serine NN I-NP O
- HYPH B-NP O
lysine NN I-NP O
- HYPH B-NP O
leucine NN I-NP O
- HYPH I-NP O
peptide NN I-NP O
. . O O

A DT B-NP O
PAS8 NN I-NP O
- HYPH I-NP O
PTS1R NN I-NP O
fusion NN I-NP O
protein NN I-NP O
complements VBZ B-VP O
the DT B-NP O
P NN I-NP O
. . O O

pastoris NN B-NP O
pas8 NN I-NP O
mutant NN I-NP O
. . O O

The DT B-NP O
PTS1R NN I-NP O
cDNA NN I-NP O
also RB B-ADVP O
complements VBZ B-VP O
the DT B-NP O
PTS1 NN I-NP B-Disease
protein NN I-NP I-Disease
- HYPH B-NP I-Disease
import NN I-NP I-Disease
defect NN I-NP I-Disease
in IN B-PP O
skin NN B-NP O
fibroblasts NNS I-NP O
from IN B-PP O
patients NNS B-NP O
- HYPH B-ADJP O
- HYPH O O
belonging VBG B-VP O
to TO B-PP O
complementation NN B-NP O
group NN I-NP O
two CD B-NP O
- HYPH I-NP O
- HYPH B-NP O
diagnosed VBN B-VP O
as IN B-PP O
having VBG B-VP O
neonatal JJ B-NP B-Disease
adrenoleukodystrophy NN I-NP I-Disease
or CC I-NP O
Zellweger NN I-NP B-Disease
syndrome NN I-NP I-Disease
. . O O

The DT B-NP O
PTS1R NN I-NP O
gene NN I-NP O
has VBZ B-VP O
been VBN I-VP O
localized JJ B-ADJP O
to TO B-PP O
a DT B-NP O
chromosomal JJ I-NP O
location NN I-NP O
where WRB B-ADVP O
no DT B-NP O
other JJ I-NP O
peroxisomal JJ I-NP B-Disease
disorder NN I-NP I-Disease
genes NNS I-NP O
are VBP B-VP O
known VBN I-VP O
to TO I-VP O
map VB I-VP O
. . O O

Our PRP$ B-NP O
findings NNS I-NP O
represent VBP B-VP O
the DT B-NP O
only JJ I-NP O
case NN I-NP O
in IN B-PP O
which WDT B-NP O
the DT B-NP O
molecular JJ I-NP O
basis NN I-NP O
of IN B-PP O
the DT B-NP O
protein NN I-NP B-Disease
- HYPH B-NP I-Disease
import NN I-NP I-Disease
deficiency NN I-NP I-Disease
in IN B-PP O
human JJ B-NP O
peroxisomal JJ I-NP B-Disease
disorders NNS I-NP I-Disease
is VBZ B-VP O
understood VBN I-VP O
. . O O

Spectrum NN B-NP O
of IN B-PP O
germline NN B-NP O
mutations NNS I-NP O
in IN B-PP O
the DT B-NP O
RB1 NN I-NP O
gene NN I-NP O
: : O O
a DT B-NP O
study NN I-NP O
of IN B-PP O
232 CD B-NP O
patients NNS I-NP O
with IN B-PP O
hereditary JJ B-NP B-Disease
and CC I-NP I-Disease
non JJ I-NP I-Disease
hereditary JJ I-NP I-Disease
retinoblastoma NN I-NP I-Disease
. . O O

Germline NN B-NP O
mutations NNS I-NP O
in IN B-PP O
the DT B-NP O
RB1 NN I-NP O
gene NN I-NP O
confer VBP B-VP O
hereditary JJ B-NP O
predisposition NN I-NP O
to TO B-PP O
retinoblastoma NN B-NP B-Disease
. . O O

We PRP B-NP O
have VBP B-VP O
performed VBN I-VP O
a DT B-NP O
mutation NN I-NP O
survey NN I-NP O
of IN B-PP O
the DT B-NP O
RB1 NN I-NP O
gene NN I-NP O
in IN B-PP O
232 CD B-NP O
patients NNS I-NP O
with IN B-PP O
hereditary JJ B-NP B-Disease
or CC I-NP I-Disease
non JJ I-NP I-Disease
hereditary JJ I-NP I-Disease
retinoblastoma NN I-NP I-Disease
. . O O

We PRP B-NP O
systematically RB B-ADVP O
explored VBD B-VP O
all DT B-NP O
27 CD I-NP O
exons NNS I-NP O
and CC O O
flanking VBG B-VP O
sequences NNS B-NP O
as RB B-CONJP O
well RB I-CONJP O
as IN I-CONJP O
the DT B-NP O
promotor NN I-NP O
. . O O

All DT B-NP O
types NNS I-NP O
of IN B-PP O
point NN B-NP O
mutations NNS I-NP O
are VBP B-VP O
represented VBN I-VP O
and CC O O
are VBP B-VP O
found VBN I-VP O
unequally RB I-VP O
distributed VBN I-VP O
along IN B-PP O
the DT B-NP O
RB1 NN I-NP O
gene NN I-NP O
sequence NN I-NP O
. . O O

In IN B-PP O
the DT B-NP O
population NN I-NP O
we PRP B-NP O
studied VBD B-VP O
, , O O
exons NNS B-NP O
3 CD I-NP O
, , I-NP O
8 CD I-NP O
, , I-NP O
18 CD I-NP O
and CC I-NP O
19 CD I-NP O
are VBP B-VP O
preferentially RB I-VP O
altered VBN I-VP O
. . O O

The DT B-NP O
range NN I-NP O
of IN B-PP O
frequency NN B-NP O
of IN B-PP O
detection NN B-NP O
of IN B-PP O
germline NN B-NP O
mutations NNS I-NP O
is VBZ B-VP O
about RB B-NP O
20 CD I-NP O
% NN I-NP O
, , O O
indicating VBG B-VP O
that IN B-SBAR O
other JJ B-NP O
mechanisms NNS I-NP O
of IN B-PP O
inactivation NN B-NP O
of IN B-PP O
RB1 NN B-NP O
should MD B-VP O
be VB I-VP O
involved VBN I-VP O
. . O O

The DT B-NP O
spectrum NN I-NP O
of IN B-PP O
mutations NNS B-NP O
presented VBN B-VP O
here RB B-ADVP O
should MD B-VP O
help VB I-VP O
to TO I-VP O
improve VB I-VP O
the DT B-NP O
clinical JJ I-NP O
management NN I-NP O
of IN B-PP O
retinoblastoma NN B-NP B-Disease
and CC O O
to TO B-VP O
understand VB I-VP O
the DT B-NP O
molecular JJ I-NP O
mechanisms NNS I-NP O
leading VBG B-VP O
to TO B-PP O
tumorigenesis NN B-NP O
. . O O

. . O O

Aniridia NN B-NP B-Disease
- HYPH O O
associated VBN B-VP O
cytogenetic JJ B-NP O
rearrangements NNS I-NP O
suggest VBP B-VP O
that IN B-SBAR O
a DT B-NP O
position NN I-NP O
effect NN I-NP O
may MD B-VP O
cause VB I-VP O
the DT B-NP O
mutant JJ I-NP O
phenotype NN I-NP O
. . O O

Current JJ B-NP O
evidence NN I-NP O
suggests VBZ B-VP O
that IN B-SBAR O
aniridia NN B-NP B-Disease
( ( O O
absence NN B-NP B-Disease
of IN B-PP I-Disease
iris NN B-NP I-Disease
) ) O O
is VBZ B-VP O
caused VBN I-VP O
by IN B-PP O
loss NN B-NP O
of IN B-PP O
function NN B-NP O
of IN B-PP O
one CD B-NP O
copy NN I-NP O
of IN B-PP O
the DT B-NP O
PAX6 NN I-NP O
gene NN I-NP O
, , O O
which WDT B-NP O
maps VBZ B-VP O
to TO B-PP O
11p13 NN B-NP O
. . O O

We PRP B-NP O
present VBP B-VP O
the DT B-NP O
further JJ I-NP O
characterisation NN I-NP O
of IN B-PP O
two CD B-NP O
aniridia NN I-NP B-Disease
pedigrees NNS I-NP O
in IN B-PP O
which WDT B-NP O
the DT B-NP O
disease NN I-NP O
segregates VBZ B-VP O
with IN B-PP O
chromosomal JJ B-NP O
rearrangements NNS I-NP O
which WDT B-NP O
involve VBP B-VP O
11p13 NN B-NP O
but CC O O
do VBP B-VP O
not RB I-VP O
disrupt VB I-VP O
the DT B-NP O
PAX6 NN I-NP O
gene NN I-NP O
. . O O

We PRP B-NP O
have VBP B-VP O
isolated VBN I-VP O
three CD B-NP O
human JJ I-NP O
YAC NN I-NP O
clones NNS I-NP O
which WDT B-NP O
encompass VBP B-VP O
the DT B-NP O
PAX6 NN I-NP O
locus NN I-NP O
and CC O O
we PRP B-NP O
have VBP B-VP O
used VBN I-VP O
these DT B-NP O
to TO B-VP O
show VB I-VP O
that IN B-SBAR O
in IN B-PP O
both DT B-NP O
cases NNS I-NP O
the DT B-NP O
chromosomal JJ I-NP O
breakpoint NN I-NP O
is VBZ B-VP O
at IN B-NP O
least JJS I-NP O
85 CD I-NP O
kb NN I-NP O
distal JJ B-ADJP O
of IN B-PP O
the DT B-NP O
3 CD I-NP O
end NN I-NP O
of IN B-PP O
PAX6 NN B-NP O
. . O O

In IN B-PP O
addition NN B-NP O
, , O O
the DT B-NP O
open JJ I-NP O
reading NN I-NP O
frame NN I-NP O
of IN B-PP O
PAX6 NN B-NP O
is VBZ B-VP O
apparently RB B-ADJP O
free JJ I-ADJP O
of IN B-PP O
mutations NNS B-NP O
. . O O

We PRP B-NP O
propose VBP B-VP O
that IN B-SBAR O
the DT B-NP O
PAX6 NN I-NP O
gene NN I-NP O
on IN B-PP O
the DT B-NP O
rearranged VBN I-NP O
chromosome NN I-NP O
11 CD I-NP O
is VBZ B-VP O
in IN B-PP O
an DT B-NP O
inappropriate JJ I-NP O
chromatin NN I-NP O
environment NN I-NP O
for IN B-PP O
normal JJ B-NP O
expression NN I-NP O
and CC O O
therefore RB B-ADVP O
that IN B-SBAR O
a DT B-NP O
position NN I-NP O
effect NN I-NP O
is VBZ B-VP O
the DT B-NP O
underlying VBG I-NP O
mechanism NN I-NP O
of IN B-PP O
disease NN B-NP O
in IN B-PP O
these DT B-NP O
families NNS I-NP O
. . O O

. . O O

Somatic JJ B-NP O
mutations NNS I-NP O
in IN B-PP O
the DT B-NP O
BRCA1 NN I-NP O
gene NN I-NP O
in IN B-PP O
sporadic JJ B-NP B-Disease
ovarian JJ I-NP I-Disease
tumours NNS I-NP I-Disease
. . O O

The DT B-NP O
BRCA1 NN I-NP O
gene NN I-NP O
on IN B-PP O
chromosome NN B-NP O
17q21 NN I-NP O
is VBZ B-VP O
responsible JJ B-ADJP O
for IN B-PP O
an DT B-NP O
autosomal JJ I-NP B-Disease
dominant JJ I-NP I-Disease
syndrome NN I-NP I-Disease
of IN B-PP O
increased VBN B-NP O
susceptibility NN I-NP O
to TO B-PP O
breast NN B-NP B-Disease
and CC O I-Disease
ovarian JJ B-NP I-Disease
cancer NN I-NP I-Disease
but CC O O
no DT B-NP O
somatic JJ I-NP O
mutations NNS I-NP O
in IN B-PP O
tumours NNS B-NP B-Disease
have VBP B-VP O
yet RB I-VP O
been VBN I-VP O
described VBN I-VP O
. . O O

To TO B-VP O
study VB I-VP O
the DT B-NP O
potential JJ I-NP O
role NN I-NP O
of IN B-PP O
BRCA1 NN B-NP O
in IN B-PP O
sporadic JJ B-NP O
carcinogenesis NN I-NP O
, , O O
we PRP B-NP O
analysed VBD B-VP O
the DT B-NP O
genomic JJ I-NP O
DNA NN I-NP O
of IN B-PP O
tumour NN B-NP B-Disease
and CC O O
normal JJ B-NP O
fractions NNS I-NP O
of IN B-PP O
47 CD B-NP O
ovarian JJ I-NP B-Disease
cancers NNS I-NP I-Disease
for IN B-PP O
mutations NNS B-NP O
in IN B-PP O
BRCA1 NN B-NP O
using VBG B-VP O
the DT B-NP O
single JJ I-NP O
- HYPH I-NP O
strand NN I-NP O
conformation NN I-NP O
polymorphism NN I-NP O
technique NN I-NP O
. . O O

We PRP B-NP O
now RB B-ADVP O
describe VBP B-VP O
somatic JJ B-NP O
mutations NNS I-NP O
in IN B-PP O
the DT B-NP O
DNA NN I-NP O
of IN B-PP O
four CD B-NP O
tumours NNS I-NP B-Disease
which WDT B-NP O
also RB B-ADVP O
had VBD B-VP O
loss NN B-NP O
of IN B-PP O
heterozygosity NN B-NP O
( ( O O
LOH NN B-NP O
) ) O O
at IN B-PP O
a DT B-NP O
BRCA1 NN I-NP O
intragenic JJ I-NP O
marker NN I-NP O
. . O O

Our PRP$ B-NP O
data NNS I-NP O
support VBP B-VP O
a DT B-NP O
tumour NN I-NP B-Disease
suppressor NN I-NP O
mechanism NN I-NP O
for IN B-PP O
BRCA1 NN B-NP O
; : O O
somatic JJ B-NP O
mutations NNS I-NP O
and CC I-NP O
LOH NN I-NP O
may MD B-VP O
result VB I-VP O
in IN B-PP O
inactivation NN B-NP O
of IN B-PP O
BRCA1 NN B-NP O
in IN B-PP O
at IN B-ADVP O
least JJS I-ADVP O
a DT B-NP O
small JJ I-NP O
number NN I-NP O
of IN B-PP O
ovarian JJ B-NP B-Disease
cancers NNS I-NP I-Disease
. . O O

. . O O

Decreased VBN B-NP O
expression NN I-NP O
of IN B-PP O
BRCA1 NN B-NP O
accelerates VBZ B-VP O
growth NN B-NP O
and CC O O
is VBZ B-VP O
often RB B-ADVP O
present JJ B-ADJP O
during IN B-PP O
sporadic JJ B-NP B-Disease
breast NN I-NP I-Disease
cancer NN I-NP I-Disease
progression NN I-NP O
. . O O

We PRP B-NP O
have VBP B-VP O
characterized VBN I-VP O
expression NN B-NP O
of IN B-PP O
the DT B-NP O
familial JJ I-NP B-Disease
breast NN I-NP I-Disease
and CC O I-Disease
ovarian JJ B-NP I-Disease
cancer NN I-NP I-Disease
gene NN I-NP O
, , O O
BRCA1 NN B-NP O
, , O O
in IN B-PP O
cases NNS B-NP O
of IN B-PP O
non AFX O B-Disease
- HYPH O I-Disease
hereditary JJ O I-Disease
( ( O I-Disease
sporadic JJ B-ADJP I-Disease
) ) O I-Disease
breast NN B-NP I-Disease
cancer NN I-NP I-Disease
and CC O O
analyzed VBD B-VP O
the DT B-NP O
effect NN I-NP O
of IN B-PP O
antisense JJ B-NP O
inhibition NN I-NP O
of IN B-PP O
BRCA1 NN B-NP O
on IN B-PP O
the DT B-NP O
proliferative JJ I-NP O
rate NN I-NP O
of IN B-PP O
mammary JJ B-NP O
epithelial JJ I-NP O
cells NNS I-NP O
. . O O

BRCA1 NN B-NP O
mRNA NN I-NP O
levels NNS I-NP O
are VBP B-VP O
markedly RB I-VP O
decreased VBN I-VP O
during IN B-PP O
the DT B-NP O
transition NN I-NP O
from IN B-PP O
carcinoma NN B-NP B-Disease
in FW B-ADVP I-Disease
situ FW I-ADVP I-Disease
to TO B-PP O
invasive JJ B-NP B-Disease
cancer NN I-NP I-Disease
. . O O

Experimental JJ B-NP O
inhibition NN I-NP O
of IN B-PP O
BRCA1 NN B-NP O
expression NN I-NP O
with IN B-PP O
antisense JJ B-NP O
oligonucleotides NNS I-NP O
produced VBD B-VP O
accelerated VBN B-NP O
growth NN I-NP O
of IN B-PP O
normal JJ B-NP O
and CC I-NP O
malignant JJ I-NP O
mammary JJ I-NP O
cells NNS I-NP O
, , O O
but CC O O
had VBD B-VP O
no DT B-NP O
effect NN I-NP O
on IN B-PP O
non AFX B-NP O
- HYPH I-NP O
mammary JJ I-NP O
epithelial JJ I-NP O
cells NNS I-NP O
. . O O

These DT B-NP O
studies NNS I-NP O
suggest VBP B-VP O
that IN B-SBAR O
BRCA1 NN B-NP O
may MD B-VP O
normally RB I-VP O
serve VB I-VP O
as IN B-PP O
a DT B-NP O
negative JJ I-NP O
regulator NN I-NP O
of IN B-PP O
mammary JJ B-NP O
epithelial JJ I-NP O
cell NN I-NP O
growth NN I-NP O
whose WP$ B-NP O
function NN I-NP O
is VBZ B-VP O
compromised VBN I-VP O
in IN B-PP O
breast NN B-NP B-Disease
cancer NN I-NP I-Disease
either CC B-PP O
by IN B-PP O
direct JJ B-NP O
mutation NN I-NP O
or CC O O
alterations NNS B-NP O
in IN B-PP O
gene NN B-NP O
expression NN I-NP O
. . O O

. . O O

Additional JJ B-NP O
case NN I-NP O
of IN B-PP O
female JJ B-NP O
monozygotic JJ I-NP O
twins NNS I-NP O
discordant JJ B-ADJP O
for IN B-PP O
the DT B-NP O
clinical JJ I-NP O
manifestations NNS I-NP O
of IN B-PP O
Duchenne NNP B-NP B-Disease
muscular JJ I-NP I-Disease
dystrophy NN I-NP I-Disease
due JJ B-PP O
to TO B-PP O
opposite JJ B-NP O
X NN I-NP O
- HYPH B-NP O
chromosome NN I-NP O
inactivation NN I-NP O
. . O O

A DT B-NP O
pair NN I-NP O
of IN B-PP O
female JJ B-NP O
monozygotic JJ I-NP O
( ( O O
MZ JJ B-ADJP O
) ) O O
twins NNS B-NP O
, , O O
heterozygous JJ B-NP O
carriers NNS I-NP O
for IN B-PP O
a DT B-NP O
deletion NN I-NP O
in IN B-PP O
the DT B-NP O
DMD NN I-NP B-Disease
gene NN I-NP O
and CC I-NP O
discordant NN I-NP O
for IN B-PP O
the DT B-NP O
clinical JJ I-NP O
manifestations NNS I-NP O
of IN B-PP O
Duchenne NNP B-NP B-Disease
muscular JJ I-NP I-Disease
dystrophy NN I-NP I-Disease
, , O O
were VBD B-VP O
analyzed VBN I-VP O
by IN B-PP O
molecular JJ B-NP O
studies NNS I-NP O
, , O O
in FW B-NP O
situ FW I-NP O
hybridization NN I-NP O
, , O O
and CC O O
methylation NN B-NP O
pattern NN I-NP O
of IN B-PP O
X NN B-NP O
chromosomes NNS I-NP O
to TO B-VP O
search VB I-VP O
for IN B-PP O
opposite JJ B-NP O
X NN I-NP O
inactivation NN I-NP O
as IN B-PP O
an DT B-NP O
explanation NN I-NP O
of IN B-PP O
their PRP$ B-NP O
clinical JJ I-NP O
discordance NN I-NP O
. . O O

Results NNS B-NP O
in IN B-PP O
lymphocytes NNS B-NP O
and CC O O
skin NN B-NP O
fibroblast NN I-NP O
cell NN I-NP O
lines NNS I-NP O
suggest VBP B-VP O
a DT B-NP O
partial JJ I-NP O
mirror NN I-NP O
inactivation NN I-NP O
with IN B-PP O
the DT B-NP O
normal JJ I-NP O
X NN I-NP O
chromosome NN I-NP O
preferentially RB B-ADJP O
active JJ I-ADJP O
in IN B-PP O
the DT B-NP O
unaffected JJ I-NP O
twin NN I-NP O
, , O O
and CC O O
the DT B-NP O
maternal JJ I-NP O
deleted VBN I-NP O
X NN I-NP O
chromosome NN I-NP O
preferentially RB B-ADJP O
active JJ I-ADJP O
in IN B-PP O
the DT B-NP O
affected VBN I-NP O
twin NN I-NP O
. . O O

A DT B-NP O
review NN I-NP O
shows VBZ B-VP O
that IN B-SBAR O
MZ JJ B-NP O
female JJ I-NP O
twins NNS I-NP O
discordant JJ B-ADJP O
for IN B-PP O
X NN B-NP B-Disease
- HYPH B-NP I-Disease
linked VBN I-NP I-Disease
diseases NNS I-NP I-Disease
are VBP B-VP O
not RB O O
uncommon JJ B-ADJP O
. . O O

Twinning NN B-NP O
and CC I-NP O
X NN I-NP O
inactivation NN I-NP O
may MD B-VP O
be VB I-VP O
interrelated VBN I-VP O
and CC O O
could MD B-VP O
explain VB I-VP O
the DT B-NP O
female JJ I-NP O
twins NNS I-NP O
discordant JJ B-ADJP O
for IN B-PP O
X NN B-NP O
- HYPH B-NP O
linked VBN I-NP O
traits NNS I-NP O
. . O O

. . O O

X NN B-NP B-Disease
- HYPH O I-Disease
linked VBN B-VP I-Disease
adrenoleukodystrophy NN B-NP I-Disease
( ( O O
ALD NN B-NP B-Disease
) ) O O
: : O O
a DT B-NP O
novel JJ I-NP O
mutation NN I-NP O
of IN B-PP O
the DT B-NP O
ALD NN I-NP B-Disease
gene NN I-NP O
in IN B-PP O
6 CD B-NP O
members NNS I-NP O
of IN B-PP O
a DT B-NP O
family NN I-NP O
presenting VBG B-VP O
with IN B-PP O
5 CD B-NP O
different JJ I-NP O
phenotypes NNS I-NP O
. . O O

Fragments NNS B-NP O
of IN B-PP O
the DT B-NP O
adrenoleukodystrophy NN I-NP B-Disease
( ( O O
ALD NN B-NP B-Disease
) ) O O
cDNA NN B-NP O
from IN B-PP O
a DT B-NP O
patient NN I-NP O
with IN B-PP O
adolescent JJ B-NP B-Disease
ALD NN I-NP I-Disease
were VBD B-VP O
amplified VBN I-VP O
by IN B-PP O
polymerase NN B-NP O
chain NN I-NP O
reaction NN I-NP O
and CC O O
subcloned VBN B-VP O
. . O O

Bidirectional JJ B-NP O
sequencing NN I-NP O
of IN B-PP O
the DT B-NP O
entire JJ I-NP O
coding VBG I-NP O
ALD NN I-NP B-Disease
gene NN I-NP O
disclosed VBD B-VP O
a DT B-NP O
cytosine NN I-NP O
to TO B-PP O
guanine NN B-NP O
transversion NN I-NP O
at IN B-PP O
nucleotide NN B-NP O
1451 CD I-NP O
in IN B-PP O
exon NN B-NP O
five CD I-NP O
, , O O
resulting VBG B-VP O
in IN B-PP O
substitution NN B-NP O
of IN B-PP O
proline NN B-NP O
484 CD I-NP O
by IN B-PP O
arginine NN B-NP O
. . O O

Five CD B-NP O
of IN B-PP O
nine CD B-NP O
siblings NNS I-NP O
of IN B-PP O
the DT B-NP O
patient NN I-NP O
, , O O
comprising VBG B-VP O
two CD B-NP O
cerebral JJ I-NP B-Disease
ALD NN I-NP I-Disease
, , O O
one CD B-NP O
adrenomyeloneuropathy NN I-NP B-Disease
, , O O
one CD B-NP O
Addison NN I-NP B-Disease
only RB O I-Disease
as RB B-CONJP O
well RB I-CONJP O
as IN I-CONJP O
the DT B-NP O
symptomatic JJ I-NP O
mother NN I-NP O
( ( O O
all DT B-NP O
accumulating VBG B-VP O
very RB B-NP O
long JJ I-NP O
chain NN I-NP O
fatty JJ I-NP O
acids NNS I-NP O
) ) O O
carried VBD B-VP O
this DT B-NP O
mutation NN I-NP O
, , O O
which WDT B-NP O
was VBD B-VP O
not RB I-VP O
found VBN I-VP O
in IN B-PP O
the DT B-NP O
unaffected JJ I-NP O
persons NNS I-NP O
, , O O
in IN B-PP O
five CD B-NP O
unrelated JJ I-NP O
ALD NN I-NP B-Disease
patients NNS I-NP O
, , O O
and CC O O
in IN B-PP O
twenty CD B-NP O
controls NNS I-NP O
. . O O

We PRP B-NP O
propose VBP B-VP O
that IN B-SBAR O
this DT B-NP O
missense JJ I-NP O
mutation NN I-NP O
generated VBD B-VP O
the DT B-NP O
disease NN I-NP O
per FW B-ADVP O
se FW I-ADVP O
as RB B-CONJP O
well RB I-CONJP O
as IN I-CONJP O
the DT B-NP O
metabolic JJ I-NP O
defect NN I-NP O
; : O O
the DT B-NP O
different JJ I-NP O
phenotypes NNS I-NP O
, , O O
however RB B-ADVP O
, , O O
must MD B-VP O
have VB I-VP O
originated VBN I-VP O
by IN B-PP O
means NNS B-NP O
of IN B-PP O
additional JJ B-NP O
pathogenetic JJ I-NP O
factors NNS I-NP O
. . O O

. . O O

Novel JJ B-NP O
mutation NN I-NP O
at IN B-PP O
the DT B-NP O
initiation NN I-NP O
codon NN I-NP O
in IN B-PP O
the DT B-NP O
Norrie NNP I-NP B-Disease
disease NN I-NP I-Disease
gene NN I-NP O
in IN B-PP O
two CD B-NP O
Japanese JJ I-NP O
families NNS I-NP O
. . O O

We PRP B-NP O
have VBP B-VP O
identified VBN I-VP O
a DT B-NP O
new JJ I-NP O
mutation NN I-NP O
of IN B-PP O
Norrie NNP B-NP B-Disease
disease NN I-NP I-Disease
( ( O O
ND NN B-NP B-Disease
) ) O O
gene NN B-NP O
in IN B-PP O
two CD B-NP O
Japanese JJ I-NP O
males NNS I-NP O
from IN B-PP O
unrelated JJ B-NP O
families NNS I-NP O
; : O O
they PRP B-NP O
showed VBD B-VP O
typical JJ B-NP O
ocular JJ I-NP O
features NNS I-NP O
of IN B-PP O
ND NN B-NP B-Disease
but CC O O
no DT B-NP O
mental JJ I-NP B-Disease
retardation NN I-NP I-Disease
or CC I-NP O
hearing NN I-NP B-Disease
impairment NN I-NP I-Disease
. . O O

A DT B-NP O
mutation NN I-NP O
was VBD B-VP O
found VBN I-VP O
in IN B-PP O
both DT B-NP O
patients NNS I-NP O
at IN B-PP O
the DT B-NP O
initiation NN I-NP O
codon NN I-NP O
of IN B-PP O
